n,θNO(n)_max,θNO(n)_avg,θBH(n)_max,θBH(n)_avg,tNO(n)_max,tNO(n)_avg,tBH(n)_max,tBH(n)_avg,Total_NO_max,Total_BH_max
10,0.00000825,0.00000473,0.00021133,0.00019666,0.00004792,0.00003596,0.00003571,0.00003213,0.00005617,0.00024704
20,0.00001217,0.00000855,0.00099704,0.00094454,0.00012971,0.00011901,0.00014454,0.00010924,0.00014187,0.00114158
